name,artist,dim_1,dim_2,name_artist
インディゴラブストーリー,indigo la End,12.232239,-6.4655633,インディゴラブストーリー - indigo la End
Oj in My Gucci Bag,MANDOBOii,-13.895698,5.3019023,Oj in My Gucci Bag - MANDOBOii
THE BENEFITS OF HEARTBREAK,Epik High,4.5586953,16.703344,THE BENEFITS OF HEARTBREAK - Epik High
Disco Crimson,CQ,12.403739,8.59018,Disco Crimson - CQ
Sense,Last Dinosaurs,6.745471,4.163243,Sense - Last Dinosaurs
Fantasy,Killer Bee,-3.989533,4.678608,Fantasy - Killer Bee
MOOO!,Doja Cat,4.597439,-3.473644,MOOO! - Doja Cat
Kitaku Beats,frederic,21.483034,3.7316468,Kitaku Beats - frederic
Bank Account,21 Savage,-9.859969,-1.6293808,Bank Account - 21 Savage
Speed Dial,Oscar Lang,-3.377595,-5.587357,Speed Dial - Oscar Lang
onion boy,Isaac Dunbar,-3.3991115,-3.901702,onion boy - Isaac Dunbar
Emerald,THE NOVEMBERS,15.281498,-3.858535,Emerald - THE NOVEMBERS
Fly Me To The Moon,Radiation City,-2.9728436,-4.963651,Fly Me To The Moon - Radiation City
ダークマター,空中ループ,11.553324,8.616622,ダークマター - 空中ループ
come ovr,sophie meiers,-3.0983257,6.226743,come ovr - sophie meiers
Hello Sky,Shook,-12.888382,6.087261,Hello Sky - Shook
You Should Know,Samuel Larsen,-3.3310049,6.2067747,You Should Know - Samuel Larsen
リッケンバッカー,Regal Lily,16.874321,-4.3555555,リッケンバッカー - Regal Lily
STUPID,BROCKHAMPTON,-9.9968605,-1.5377607,STUPID - BROCKHAMPTON
Mario & Yoshi,Kasey Andre,-3.9699223,5.7874765,Mario & Yoshi - Kasey Andre
Highlight,IZ*ONE,11.650726,5.091657,Highlight - IZ*ONE
Introverts,OJ Law,6.444972,4.19443,Introverts - OJ Law
"Hopelessly Devoted To You - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,12.095872,-3.9702814,"Hopelessly Devoted To You - From ""Grease"" Original Motion Picture Soundtrack - Olivia Newton-John"
KISS ME,DPR LIVE,-5.431495,14.959274,KISS ME - DPR LIVE
Lucid Dreams,Kid Travis,3.619965,-1.343014,Lucid Dreams - Kid Travis
Remember Summer Days (Night Tempo Showa Groove Mix),Night Tempo,17.994024,9.811363,Remember Summer Days (Night Tempo Showa Groove Mix) - Night Tempo
Afterglow,Luna Li,0.028908504,-10.025271,Afterglow - Luna Li
Drowning (feat. Kodak Black) - Drill Remix,A Boogie Wit da Hoodie,-13.271693,6.446727,Drowning (feat. Kodak Black) - Drill Remix - A Boogie Wit da Hoodie
4 AM,2 Chainz,-10.2318,12.6228895,4 AM - 2 Chainz
Don't Give Me Your Number,Daryl Kim,-5.5100327,14.9787445,Don't Give Me Your Number - Daryl Kim
Still Lovely,Banes World,0.039049875,-10.088704,Still Lovely - Banes World
Yams feat. Masego,starRo,-2.4274518,6.697278,Yams feat. Masego - starRo
Over the Moon,The Marías,-3.3720767,-5.6711125,Over the Moon - The Marías
Umi No Mieru Oka Kara,the strange drama,9.936303,9.418628,Umi No Mieru Oka Kara - the strange drama
クリスマスキャロルの頃には - NORTH FLOW,Monkey Majik,21.289536,4.418254,クリスマスキャロルの頃には - NORTH FLOW - Monkey Majik
3005 (Beach Picnic - A$Ad Remix),Aad,-1.6360904,5.9649677,3005 (Beach Picnic - A$Ad Remix) - Aad
Suddenly Digging Club Seoul Version,Yerin Baek,4.0708294,18.095545,Suddenly Digging Club Seoul Version - Yerin Baek
room,Ghost like girlfriend,12.28537,-6.518655,room - Ghost like girlfriend
Drown,Cuco,5.037741,-2.68976,Drown - Cuco
Dilemma,Sigma,-7.1499333,0.7698642,Dilemma - Sigma
一個女人和浴室,Kay Tse,2.0597963,10.466246,一個女人和浴室 - Kay Tse
Groovin' Magic,ROUND TABLE,-2.0444922,8.104622,Groovin' Magic - ROUND TABLE
DAYS,FLOW,10.464477,9.654659,DAYS - FLOW
BrEakFaSt,Madeline Lauer,-4.0083327,6.318116,BrEakFaSt - Madeline Lauer
"Thank you, my twilight (Fool on cool version)",the pillows,9.1494255,15.000456,"Thank you, my twilight (Fool on cool version) - the pillows"
Backyard Boy,Claire Rosinkranz,-3.1770124,-4.3298626,Backyard Boy - Claire Rosinkranz
Casin,glue70,-3.3867805,7.690923,Casin - glue70
どうせなら雨が良かった,DADARAY,19.324537,9.72703,どうせなら雨が良かった - DADARAY
King of Hearts,WayV,4.269112,-1.1823428,King of Hearts - WayV
冬夜のマジック,indigo la End,12.042816,-6.275867,冬夜のマジック - indigo la End
遥か彼方,ASIAN KUNG-FU GENERATION,19.09326,10.476952,遥か彼方 - ASIAN KUNG-FU GENERATION
SUISEI feat.ONOMATOPEDAIJIN,tofubeats,18.383862,11.147675,SUISEI feat.ONOMATOPEDAIJIN - tofubeats
君は1000%,1986 Omega Tribe,17.509819,9.779598,君は1000% - 1986 Omega Tribe
A Better Place,Rav,-12.919875,5.60943,A Better Place - Rav
Let Me Get Close to You (G O L D),Inner State 81,-1.6002666,6.8319716,Let Me Get Close to You (G O L D) - Inner State 81
How Many Times,andhim,-1.8916554,7.125783,How Many Times - andhim
Simple,Joe Hertz,6.238176,4.554415,Simple - Joe Hertz
DAYDREAMING,DAISY,4.016891,-1.45033,DAYDREAMING - DAISY
Love at First Fight,Tyler Cole,-3.6427631,5.828283,Love at First Fight - Tyler Cole
Saint-Tropez,Post Malone,-14.091644,5.480925,Saint-Tropez - Post Malone
Bloom,bLAck pARty,5.818417,4.188864,Bloom - bLAck pARty
友達のフリ,Kera Kera,12.363304,8.650177,友達のフリ - Kera Kera
thirst,Cutouts,-2.2229784,5.3665147,thirst - Cutouts
Run Away - Radio Edit,Sunstroke Project,4.13297,-1.2929207,Run Away - Radio Edit - Sunstroke Project
