name,artist,dim_1,dim_2,name_artist
Drew Barrymore,SZA,3.7447126,-3.2504904,Drew Barrymore - SZA
In Your Arms,Sunbeam Sound Machine,6.4219756,-10.113471,In Your Arms - Sunbeam Sound Machine
Close The Door,Weston Estate,-9.692701,-6.8409123,Close The Door - Weston Estate
High Fashion (feat. Mustard),Roddy Ricch,-12.902524,5.741933,High Fashion (feat. Mustard) - Roddy Ricch
Mystery Girl,Housecall,6.50564,3.9094822,Mystery Girl - Housecall
Panther,Made in Heights,3.6322336,-4.324988,Panther - Made in Heights
KokoroKokoniArazu,POLKADOT STINGRAY,10.235609,-0.8115978,KokoroKokoniArazu - POLKADOT STINGRAY
Sounds Fake But Ok - Discoholic Remix,Camino 84,-3.0677867,7.923195,Sounds Fake But Ok - Discoholic Remix - Camino 84
Living Inside Your Love,Flap Jack,-1.5290071,6.2081523,Living Inside Your Love - Flap Jack
crying rain,Girugamesh,9.096662,-7.2648697,crying rain - Girugamesh
Ok Wait,sundial,-3.58043,4.3828325,Ok Wait - sundial
夏をあきらめて,Naoko Ken,17.579742,9.695428,夏をあきらめて - Naoko Ken
LAST DINOSAUR,the pillows,9.30429,14.834723,LAST DINOSAUR - the pillows
This Time,Jeff Bernat,4.060078,-4.0661216,This Time - Jeff Bernat
ボイスメモ No. 5,CHANMINA,8.149484,14.590304,ボイスメモ No. 5 - CHANMINA
Seychelles - Original Mix,Perseus,5.683658,-1.8511934,Seychelles - Original Mix - Perseus
Chatoyant (Beauty Bass),Made in Heights,3.8827968,-3.3419564,Chatoyant (Beauty Bass) - Made in Heights
I Need You Back,Septembermaru,-1.8805592,7.786983,I Need You Back - Septembermaru
Love Theory,Kirk Franklin,-2.2097495,7.8285594,Love Theory - Kirk Franklin
Flavor Of Life,Hikaru Utada,11.011537,8.575317,Flavor Of Life - Hikaru Utada
The Show Must Go On - Remastered 2011,Queen,9.36603,-7.6159644,The Show Must Go On - Remastered 2011 - Queen
Dororo,ASIAN KUNG-FU GENERATION,18.918861,10.841361,Dororo - ASIAN KUNG-FU GENERATION
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,-10.284111,12.803799,"King's Dead (with Kendrick Lamar, Future & James Blake) - Jay Rock"
Kanojo,EVO+,10.062708,9.470217,Kanojo - EVO+
Daunt,Jelani Aryeh,-0.025565077,-10.287803,Daunt - Jelani Aryeh
Jaigantic (Galimatias Remix),Tora,6.0941305,5.7444515,Jaigantic (Galimatias Remix) - Tora
Ride Wit Me (feat. PnB Rock),Natasha Elise,-3.3649325,5.9360304,Ride Wit Me (feat. PnB Rock) - Natasha Elise
聖母たちのララバイ,Hiromi Iwasaki,17.882074,10.549837,聖母たちのララバイ - Hiromi Iwasaki
Test & Recognise - Flume Re-work,Seekae,-2.178974,5.58576,Test & Recognise - Flume Re-work - Seekae
I Been,Berhana,5.862396,4.882188,I Been - Berhana
Moonlight,OuiOui,-0.97319096,16.46112,Moonlight - OuiOui
Sin,Anfa Rose,-9.823751,-1.6725948,Sin - Anfa Rose
Hidden Track Waltz,cehryl,-2.7634404,4.7595277,Hidden Track Waltz - cehryl
あなたに出会わなければ~夏雪冬花~,Aimer,15.217758,1.1838666,あなたに出会わなければ~夏雪冬花~ - Aimer
Run,Joji,3.9058394,-1.0344608,Run - Joji
Thursday,Asobi Seksu,4.0597963,-4.063766,Thursday - Asobi Seksu
Voices in My Head,Naked Eyes,5.7729416,-2.1661718,Voices in My Head - Naked Eyes
10 Freaky Girls (with 21 Savage),Metro Boomin,-10.348062,-1.1071742,10 Freaky Girls (with 21 Savage) - Metro Boomin
Window,Joji,3.5947764,-3.4911027,Window - Joji
Great Escape,cinema staff,15.391745,0.7983394,Great Escape - cinema staff
Island In The Sun,Weezer,11.090718,-9.549412,Island In The Sun - Weezer
Money Longer,Lil Uzi Vert,-13.839659,5.622697,Money Longer - Lil Uzi Vert
Full Time,Ric Heron,-3.4018638,7.161331,Full Time - Ric Heron
Culdesac,Merlyn Wood,-2.133242,5.423142,Culdesac - Merlyn Wood
the LAST SHOW,Nightmare,10.441342,8.398382,the LAST SHOW - Nightmare
tickle me gently,ako,-4.152379,5.501404,tickle me gently - ako
optimistic,cehryl,-4.4147325,4.5695806,optimistic - cehryl
人妻的偽術,Kay Tse,2.0778039,10.484071,人妻的偽術 - Kay Tse
Pink Matter,Frank Ocean,-7.1199236,0.800512,Pink Matter - Frank Ocean
in your arms,Saib,-5.450353,15.321379,in your arms - Saib
Uncle ACE,Blood Orange,-2.9372458,-3.6058583,Uncle ACE - Blood Orange
歌舞伎町の女王,Sheena Ringo,21.16895,3.9298556,歌舞伎町の女王 - Sheena Ringo
more,keshi,4.646617,-3.1924427,more - keshi
Dear Breeze,S. Kiyotaka & Omega Tribe,18.09046,10.243455,Dear Breeze - S. Kiyotaka & Omega Tribe
Feel Better,Inner Wave,6.461569,-9.899093,Feel Better - Inner Wave
恋は永遠,GING NANG BOYZ,16.94626,-3.4404376,恋は永遠 - GING NANG BOYZ
そして、時がたつ,SUBARASHIKA,10.50944,-0.4291924,そして、時がたつ - SUBARASHIKA
桜が咲く前に,Kinokoteikoku,17.143822,-4.410649,桜が咲く前に - Kinokoteikoku
"RACECAR (feat. Clairo, Coco & Clair Clair)",Deaton Chris Anthony,-10.604874,7.312221,"RACECAR (feat. Clairo, Coco & Clair Clair) - Deaton Chris Anthony"
プラスティック・ラブ,Yuri Tanaka,18.509438,9.438352,プラスティック・ラブ - Yuri Tanaka
Come On Eileen,Dexys Midnight Runners,4.5212407,-2.9515405,Come On Eileen - Dexys Midnight Runners
beibs in the trap,Travis Scott,-10.138057,-1.5214604,beibs in the trap - Travis Scott
Sound Like Jelly (Prod. Krissio),Basick,-12.633139,5.434394,Sound Like Jelly (Prod. Krissio) - Basick
Screen Love feat. Slyleaf & Bien,Trifect,-2.0862513,5.2271485,Screen Love feat. Slyleaf & Bien - Trifect
"Apples to Apples, Dust to Dust",The Speed of Sound in Seawater,4.4242716,-0.72650236,"Apples to Apples, Dust to Dust - The Speed of Sound in Seawater"
4 Seasons,Rex Orange County,3.649101,-1.6748183,4 Seasons - Rex Orange County
Zone of Zen,Cradle Orchestra,-1.6293182,7.4944563,Zone of Zen - Cradle Orchestra
Lonely,Thomson & Ismael,-1.6152217,6.3180175,Lonely - Thomson & Ismael
my boy,Billie Eilish,4.302327,-3.5775597,my boy - Billie Eilish
ZEZE (feat. Travis Scott & Offset),Kodak Black,-9.912297,-1.6880962,ZEZE (feat. Travis Scott & Offset) - Kodak Black
Lucky Love,Michael Seyer,0.05750759,-10.104139,Lucky Love - Michael Seyer
Last Haze,Ghost like girlfriend,12.036502,-6.2696924,Last Haze - Ghost like girlfriend
Days With Uncertainty - Anchorsong Remix,The fin.,-0.020328559,-10.25623,Days With Uncertainty - Anchorsong Remix - The fin.
My Heart Is Pumping to a Brand New Beat,The Subways,9.112125,-7.307799,My Heart Is Pumping to a Brand New Beat - The Subways
Primo,Ark Patrol,-2.1423104,5.7617245,Primo - Ark Patrol
Line of Fire (feat. Karin Park) - Radio Edit,Booka Shade,-1.5909498,6.7996583,Line of Fire (feat. Karin Park) - Radio Edit - Booka Shade
Hijo de Papá,Mustard Service,6.6740603,-9.904212,Hijo de Papá - Mustard Service
6号室,Lamp,10.542676,12.807731,6号室 - Lamp
See Me,Rich Brian,4.641888,13.1701355,See Me - Rich Brian
Tongue Tied,Grouplove,14.094097,-13.046375,Tongue Tied - Grouplove
GO!!!,FLOW,10.549381,9.646308,GO!!! - FLOW
恋をしたのは,carnivalxenon,11.012871,8.609311,恋をしたのは - carnivalxenon
Eighteen,beabadoobee,-3.4051332,-5.5983353,Eighteen - beabadoobee
Vibrato,Stellar,4.0080423,19.089424,Vibrato - Stellar
I Just Called,NEIKED,5.019116,-0.74822265,I Just Called - NEIKED
君の知らない物語,supercell,12.249719,8.845139,君の知らない物語 - supercell
Midnight,Maxwell Young,-4.249958,3.855619,Midnight - Maxwell Young
死ぬのがいいわ,Fujii Kaze,19.047691,10.251715,死ぬのがいいわ - Fujii Kaze
Nunca Es Suficiente,Los Ángeles Azules,-3.5681584,6.472136,Nunca Es Suficiente - Los Ángeles Azules
茜さす,Aimer,15.051362,1.6021947,茜さす - Aimer
I Can't Handle Change,Roar,-2.1305394,-4.384777,I Can't Handle Change - Roar
Location Unknown ◐,HONNE,4.435332,-2.3310416,Location Unknown ◐ - HONNE
Pull Up,Nicotine's Famous Honey,-3.5005963,6.070513,Pull Up - Nicotine's Famous Honey
Space Song,Beach House,-2.7527893,-3.8372955,Space Song - Beach House
オトナチック,Gesu No Kiwami Otome,21.62797,3.9076786,オトナチック - Gesu No Kiwami Otome
Undisclosed Desires,Muse,9.181165,-7.6426806,Undisclosed Desires - Muse
Feels Like We're Dying,Johnny Goth,3.7994561,-4.102138,Feels Like We're Dying - Johnny Goth
"Sunday (feat. HEIZE, Jay Park)",GroovyRoom,-1.635448,14.004983,"Sunday (feat. HEIZE, Jay Park) - GroovyRoom"
Moonlight,XXXTENTACION,-10.75408,-1.5467348,Moonlight - XXXTENTACION
Midnight Pretenders,Tomoko Aran,17.552835,11.1274805,Midnight Pretenders - Tomoko Aran
Risky Biz,Palmy Chiller,-1.8214747,7.4626684,Risky Biz - Palmy Chiller
One More Love Song,Mac DeMarco,5.8565936,5.66362,One More Love Song - Mac DeMarco
Come Alive,The Hails,6.8488526,5.00097,Come Alive - The Hails
Drivers,Nick Leng,-1.9099151,6.7798324,Drivers - Nick Leng
my boo,kerri,3.3012393,-4.5015454,my boo - kerri
There Must Be,Joohyo,-5.4708962,15.447008,There Must Be - Joohyo
Girls,Kainalu,6.105578,5.075861,Girls - Kainalu
Settle Down,Ricky Montgomery,-2.703926,-3.6791837,Settle Down - Ricky Montgomery
Brave New World,aeon,-4.0671406,5.5676093,Brave New World - aeon
Absolutely Monsieur,YAKUSHIMARU Etsuko,10.730151,10.046583,Absolutely Monsieur - YAKUSHIMARU Etsuko
This Head I Hold,Electric Guest,14.042024,-12.99371,This Head I Hold - Electric Guest
剣戟の響き,LAST ALLIANCE,10.462215,8.398794,剣戟の響き - LAST ALLIANCE
Send It,Steve Aoki,-3.72427,-1.4388741,Send It - Steve Aoki
Feels Like We Only Go Backwards,Tame Impala,-1.1645991,6.261956,Feels Like We Only Go Backwards - Tame Impala
You were mine (feat. ひかり),Tokimeki Records,12.114352,5.261618,You were mine (feat. ひかり) - Tokimeki Records
Sarishinohara,majiko,15.226004,1.2083124,Sarishinohara - majiko
Electric (feat. Khalid),Alina Baraz,3.747737,-3.9971614,Electric (feat. Khalid) - Alina Baraz
すべては君のせいで,Base Ball Bear,17.010923,-3.4597726,すべては君のせいで - Base Ball Bear
Super mario,oceanfromtheblue,-5.700222,15.409447,Super mario - oceanfromtheblue
I Wish I Was Stephen Malkmus,beabadoobee,-2.786838,-3.8263342,I Wish I Was Stephen Malkmus - beabadoobee
1 Missed Call,ROMderful,-9.6156645,-6.754996,1 Missed Call - ROMderful
Summer Trees,Diveo,-1.6588774,6.681924,Summer Trees - Diveo
Mayonaka no Door / Stay With Me - Club Mix,Miki Matsubara,18.383823,9.377804,Mayonaka no Door / Stay With Me - Club Mix - Miki Matsubara
Miracle Love (feat. asmi),Tokimeki Records,12.10006,5.281886,Miracle Love (feat. asmi) - Tokimeki Records
Honey Lavender,ieuan,-3.7650957,6.7258673,Honey Lavender - ieuan
午後の反射光,君島大空,11.695224,9.849846,午後の反射光 - 君島大空
I Can't Dance,Michael Seyer,0.04202892,-9.722919,I Can't Dance - Michael Seyer
Learn to Fly,majiko,14.846629,0.5911728,Learn to Fly - majiko
Turn It Into Love,Tokimeki Records,12.1017885,5.2342033,Turn It Into Love - Tokimeki Records
SUN DAY,HIRAIDAI,18.772963,9.833237,SUN DAY - HIRAIDAI
TEMPLE OF THE DRAGON,adam brian paul,-3.3870885,6.329658,TEMPLE OF THE DRAGON - adam brian paul
心の糸,UNLIMITS,20.864737,3.998646,心の糸 - UNLIMITS
Sweet,Bohkeh,-3.1348205,6.352909,Sweet - Bohkeh
Heavy,POWERS,-3.2595496,-3.7660728,Heavy - POWERS
Wrapped Around Your Finger,Post Malone,-13.812622,5.686755,Wrapped Around Your Finger - Post Malone
huge mood,slchld,3.8945022,17.590824,huge mood - slchld
Calling,HoneyComeBear,11.381011,8.370567,Calling - HoneyComeBear
Please Me,Cardi B,-3.7663245,-1.4022418,Please Me - Cardi B
Gimme The Time,Good Intent,-3.2258108,7.82184,Gimme The Time - Good Intent
I Don't Think I'm Okay,Bazzi,3.394385,-3.9552479,I Don't Think I'm Okay - Bazzi
Macintosh Plus 2k18,Yung Frown,-13.76339,6.10007,Macintosh Plus 2k18 - Yung Frown
Honey,070 Shake,-13.911477,5.650731,Honey - 070 Shake
Sober,Childish Gambino,-9.911859,-1.5931996,Sober - Childish Gambino
Smile,sophie meiers,-4.190222,5.6058836,Smile - sophie meiers
Wait,Mura Kami,-4.0932813,6.358131,Wait - Mura Kami
Wake Up in the Sky,Gucci Mane,-10.230513,12.79842,Wake Up in the Sky - Gucci Mane
Comme des Garçons,Jiwoo,4.986756,5.3482347,Comme des Garçons - Jiwoo
Miree (Bay Version),Suchmos,17.044704,-3.567603,Miree (Bay Version) - Suchmos
UNHAPPY CLUB,"Kami-sama, I have noticed",15.207917,1.1877047,"UNHAPPY CLUB - Kami-sama, I have noticed"
Work It Out,Cory Hotline,-1.9812766,7.8091617,Work It Out - Cory Hotline
I've No More Fucks To Give,Thomas Benjamin Wild Esq,-4.1350093,6.378991,I've No More Fucks To Give - Thomas Benjamin Wild Esq
メランコリー,Cidergirl,16.98892,-3.4984474,メランコリー - Cidergirl
Antiriver,Jiwoo,4.9915886,5.350332,Antiriver - Jiwoo
Always,Last Dinosaurs,6.671505,4.3599477,Always - Last Dinosaurs
Who's Theme,Nujabes,8.300637,14.450711,Who's Theme - Nujabes
Twilight,Ivy to Fraudulent Game,17.173147,-4.4183283,Twilight - Ivy to Fraudulent Game
boyfriend (with Social House),Ariana Grande,4.5701804,-0.65887856,boyfriend (with Social House) - Ariana Grande
我がままなハイヒール,Kaoru Akimoto,17.529034,11.155357,我がままなハイヒール - Kaoru Akimoto
Superficial Love,Calica,-2.5089858,7.7715263,Superficial Love - Calica
Never Let You Go,Omoinotake,18.873352,9.548434,Never Let You Go - Omoinotake
Wet The Bed,Sik-K,-1.805353,14.18302,Wet The Bed - Sik-K
もしも私が空に住んでいたら,Misaki Iwasa,11.287337,11.064045,もしも私が空に住んでいたら - Misaki Iwasa
Wolfcat,Still Woozy,-3.5396333,-5.0267634,Wolfcat - Still Woozy
HARD-CORE-GEEK,Sekaiichi,10.243647,-0.80312765,HARD-CORE-GEEK - Sekaiichi
Señorita,Shawn Mendes,5.7568374,-2.0940094,Señorita - Shawn Mendes
Wanna Hold You,Quirinello,-1.4437693,6.0074487,Wanna Hold You - Quirinello
Ain't Nobody Know,Gen Hoshino,17.639425,10.325716,Ain't Nobody Know - Gen Hoshino
Last Summer,ぷにぷに電機,10.288623,10.363391,Last Summer - ぷにぷに電機
Saw You In A Dream,The Japanese House,-3.4214284,-3.945863,Saw You In A Dream - The Japanese House
Cosmic Freeway,Yeek,3.7830832,-4.5932055,Cosmic Freeway - Yeek
Highways,Yeek,4.038455,-3.188722,Highways - Yeek
Sting,Stellar,4.006237,19.103586,Sting - Stellar
requiem,Unlucky Morpheus,16.29706,1.1621696,requiem - Unlucky Morpheus
Vision,frederic,21.525154,3.735995,Vision - frederic
700 Sisters,GHOST DATA,11.481576,10.322573,700 Sisters - GHOST DATA
愛のままを,Ayano Kaneko,12.2525425,-6.486802,愛のままを - Ayano Kaneko
Easy,Mac Ayres,-2.791687,-5.090889,Easy - Mac Ayres
Shooting Stars,Bag Raiders,-9.544499,-6.684895,Shooting Stars - Bag Raiders
Living for the Weekend,Hard-FI,14.092344,-13.0448265,Living for the Weekend - Hard-FI
Birds Dont Sing,TV Girl,-2.9379854,-3.5787551,Birds Dont Sing - TV Girl
Andromeda (feat. DRAM),Gorillaz,-6.9787807,-2.980951,Andromeda (feat. DRAM) - Gorillaz
Factor Word,Shiho Nanba,9.847899,9.958639,Factor Word - Shiho Nanba
Plot Twist,Marc E. Bassy,-3.724932,-1.4615927,Plot Twist - Marc E. Bassy
7 Weeks & 3 Days - Harmless Remix,yungatita,-2.9841588,5.0915465,7 Weeks & 3 Days - Harmless Remix - yungatita
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,5.0301633,-2.6295743,"After The Storm (feat. Tyler, The Creator & Bootsy Collins) - Kali Uchis"
Invitations (feat. Froya & 宮脇翔平),Tokimeki Records,11.730933,5.086911,Invitations (feat. Froya & 宮脇翔平) - Tokimeki Records
Sleepwalk,nelward,-3.3608952,7.2548847,Sleepwalk - nelward
Waste of Youth,Metro-Ongen,10.603459,-0.31648916,Waste of Youth - Metro-Ongen
Swimming,Kero Kero Bonito,4.422792,-3.1074672,Swimming - Kero Kero Bonito
sekaiwotorikaeshiteokure,HARU NEMURI,10.685891,13.076344,sekaiwotorikaeshiteokure - HARU NEMURI
Darth Binks,Andrés,-2.0692365,6.6430025,Darth Binks - Andrés
冬のトキメキ,cinnamons,10.593362,10.25719,冬のトキメキ - cinnamons
Honesty (Pink Sweat$ Cover),Justin Park,-2.4368691,5.2810907,Honesty (Pink Sweat$ Cover) - Justin Park
New Order,MASS OF THE FERMENTING DREGS,12.501495,8.7907915,New Order - MASS OF THE FERMENTING DREGS
Let It Pass,Jakob,6.620078,-9.915066,Let It Pass - Jakob
Doesn't Matter - Rynx Remix,Gallant,5.1276984,-0.8946302,Doesn't Matter - Rynx Remix - Gallant
Aliyah's Song,Babylung,4.908392,12.693393,Aliyah's Song - Babylung
Bitter,Joji,3.8670683,-3.707553,Bitter - Joji
Tribe (with J. Cole),Bas,-9.789712,12.885921,Tribe (with J. Cole) - Bas
Itan na star,Official HIGE DANdism,14.775826,1.0228524,Itan na star - Official HIGE DANdism
Self Control,Cavetown,-3.4367058,-4.964141,Self Control - Cavetown
Face to Face,Rex Orange County,4.111798,-3.6949074,Face to Face - Rex Orange County
And July,HEIZE,4.0002656,19.10501,And July - HEIZE
夜の虹,Minami Kizuki,11.297906,11.044244,夜の虹 - Minami Kizuki
Otome Shikkaku.,Shiho Nanba,12.278607,9.154401,Otome Shikkaku. - Shiho Nanba
Lemon Boy,Cavetown,-2.4299443,-4.621668,Lemon Boy - Cavetown
Painting,LEEBADA,-5.4616284,15.369142,Painting - LEEBADA
Mama,My Chemical Romance,3.730554,-0.7937356,Mama - My Chemical Romance
So Good,Weston Estate,-9.589405,-6.7270617,So Good - Weston Estate
Fox,LEEBADA,-5.6434126,15.388467,Fox - LEEBADA
Sailing,Aimer,14.794167,1.6433976,Sailing - Aimer
Something,Mokyo,-3.7079172,4.197614,Something - Mokyo
Flowers,iyla,4.7883654,-1.5285347,Flowers - iyla
Thunder,Roy Blair,-2.4834454,-4.6057878,Thunder - Roy Blair
Violeta,IZ*ONE,12.134426,5.364656,Violeta - IZ*ONE
instant.romance,lost spaces,-2.8935132,6.9992995,instant.romance - lost spaces
HoydeA,傻子與白痴,-3.6521094,-5.1653805,HoydeA - 傻子與白痴
IMNOTIMPRESSED!,warrenisyellow,4.3811655,12.6175585,IMNOTIMPRESSED! - warrenisyellow
Fuccboy,A. Nayaka,-10.08329,-1.9825273,Fuccboy - A. Nayaka
Madisonsquarepark,MOZIAH,-1.5125695,6.0203958,Madisonsquarepark - MOZIAH
Refrain,Anan Ryoko,-3.8579447,5.304517,Refrain - Anan Ryoko
Intro,The xx,-2.7872403,-4.3357916,Intro - The xx
Short-Haired Girl,Tear Ducks,-2.0795777,6.340544,Short-Haired Girl - Tear Ducks
夢想少女,Fragile Girls,-2.741866,-3.796692,夢想少女 - Fragile Girls
模様,Ivy to Fraudulent Game,17.31695,-2.9380245,模様 - Ivy to Fraudulent Game
Super Bounce,Duckwrth,4.292463,12.891265,Super Bounce - Duckwrth
Better (feat. Gabriela Francesca & Rex Mac),GEO,4.3209376,-2.6899664,Better (feat. Gabriela Francesca & Rex Mac) - GEO
That XX (그 XX),G-DRAGON,-2.0666952,20.699032,That XX (그 XX) - G-DRAGON
Cadillac,Sports,5.926007,3.9815624,Cadillac - Sports
모른 척해요 Pretend you don't know me,PPCX,6.3882985,4.484884,모른 척해요 Pretend you don't know me - PPCX
Dancing in the mood,H ZETTRIO,-1.9480023,8.042987,Dancing in the mood - H ZETTRIO
Caught Up w/ Josephin Bovién,"K, Le Maestro",-13.761393,5.4031377,"Caught Up w/ Josephin Bovién - K, Le Maestro"
Young,Vacations,6.712001,4.3081985,Young - Vacations
すてきなメゾン feat. 玉城ティナ,tofubeats,17.783428,10.167892,すてきなメゾン feat. 玉城ティナ - tofubeats
Hide & Seek,GIRLFRIEND,14.72129,0.60447425,Hide & Seek - GIRLFRIEND
U Got My,Victor Internet,3.9492233,-1.8799367,U Got My - Victor Internet
Feel Good Inc.,Gorillaz,-6.978992,-2.9809287,Feel Good Inc. - Gorillaz
Primal,CQ,11.222928,8.10106,Primal - CQ
Sweet,Bren Joy,-9.521403,-6.659539,Sweet - Bren Joy
Most the Year,Westfalia,-3.7708428,5.0291457,Most the Year - Westfalia
月アカリサイレース,UNLIMITS,21.090717,4.281653,月アカリサイレース - UNLIMITS
Blue,Far Caspian,5.887344,4.110715,Blue - Far Caspian
Painfully Obvious,Harmless,4.1117897,-3.3618271,Painfully Obvious - Harmless
天橋,Miriam Yeung,1.7072365,10.115979,天橋 - Miriam Yeung
Borderline,Baby Rose,-9.588356,-6.728265,Borderline - Baby Rose
UP NO MORE,TWICE,6.1864986,-10.394855,UP NO MORE - TWICE
Hero's Come Back!!(第1話〜第30話),Junichi Sakamoto,10.203014,8.846875,Hero's Come Back!!(第1話〜第30話) - Junichi Sakamoto
Fake Friends,Emir Hermono,4.8204675,12.626764,Fake Friends - Emir Hermono
